t_s,cores_busy,rss_gib,n_procs
2.0,1.132,0.111,1
4.1,0.977,0.112,1
6.1,0.984,0.112,1
8.1,0.984,0.112,1
10.1,0.969,0.112,1
12.1,0.984,0.112,1
14.1,0.977,0.112,1
16.2,0.953,0.112,1
18.2,0.992,0.113,1
20.2,0.993,0.113,1
22.2,1.000,0.113,1
24.2,1.008,0.113,1
26.2,0.946,0.113,1
28.2,0.977,0.113,1
30.3,0.985,0.113,1
32.3,1.000,0.113,1
34.3,0.992,0.113,1
36.3,0.984,0.113,1
38.3,0.985,0.113,1
40.3,0.984,0.113,1
42.4,0.984,0.113,1
44.4,0.962,0.113,1
46.4,0.977,0.113,1
48.4,0.962,0.122,1
50.4,0.969,0.126,1
52.4,0.969,0.130,1
54.4,1.752,0.359,1
56.5,0.969,0.363,1
58.5,0.992,0.366,1
60.5,1.342,0.416,1
62.5,0.977,0.421,1
64.5,1.287,0.528,1
66.5,1.349,0.418,1
68.6,0.907,0.421,1
70.6,1.566,0.415,1
72.6,0.977,0.419,1
74.6,0.992,0.424,1
76.6,1.830,0.418,1
78.6,0.984,0.421,1
80.6,1.512,0.415,1
82.7,0.992,0.419,1
84.7,0.953,0.422,1
86.7,2.016,0.418,1
88.7,0.938,0.422,1
90.7,1.612,0.416,1
92.7,0.969,0.419,1
94.7,0.953,0.422,1
96.8,2.062,0.417,1
98.8,0.962,0.422,1
100.8,1.680,0.416,1
102.8,0.992,0.419,1
104.8,0.984,0.424,1
106.8,1.597,0.417,1
108.8,0.992,0.421,1
110.9,0.977,0.192,1
112.9,0.977,0.141,1
114.9,0.985,0.146,1
116.9,0.977,0.405,1
118.9,2.109,0.409,1
120.9,0.977,0.413,1
123.0,0.984,0.416,1
125.0,1.992,0.475,1
127.0,0.969,0.479,1
129.0,0.992,0.482,1
131.0,1.977,0.475,1
133.0,0.969,0.477,1
135.1,0.961,0.481,1
137.1,0.962,0.129,1
139.1,0.984,0.138,1
141.1,1.000,0.141,1
143.1,0.985,0.146,1
145.1,1.682,0.362,1
147.1,0.993,0.366,1
149.2,0.984,0.370,1
151.2,1.713,0.419,1
153.2,0.977,0.422,1
155.2,1.705,0.418,1
157.2,0.984,0.421,1
159.2,0.993,0.425,1
161.3,2.240,0.419,1
163.3,0.993,0.422,1
165.3,1.426,0.531,1
167.3,1.403,0.421,1
169.3,0.922,0.424,1
171.3,1.908,0.419,1
173.3,0.992,0.424,1
175.4,1.450,0.531,1
177.4,1.519,0.421,1
179.4,0.985,0.425,1
181.4,1.403,0.418,1
183.4,0.984,0.422,1
185.4,0.985,0.425,1
187.5,1.876,0.421,1
189.5,0.977,0.425,1
191.5,1.884,0.420,1
193.5,0.977,0.422,1
195.5,1.008,0.531,1
197.5,1.984,0.421,1
199.5,0.992,0.425,1
201.6,1.869,0.420,1
203.6,0.984,0.424,1
205.6,1.546,0.531,1
207.6,1.124,0.420,1
209.6,0.984,0.424,1
211.6,1.846,0.419,1
213.7,0.984,0.422,1
215.7,0.992,0.426,1
217.7,1.396,0.419,1
219.7,0.953,0.423,1
221.7,1.000,0.139,1
223.7,0.984,0.143,1
225.7,0.977,0.148,1
227.8,2.154,0.408,1
229.8,0.992,0.411,1
231.8,0.984,0.416,1
233.8,0.992,0.609,1
235.8,2.147,0.477,1
237.8,0.992,0.480,1
239.9,0.969,0.484,1
241.9,1.512,0.477,1
243.9,0.962,0.480,1
245.9,0.969,0.484,1
247.9,2.302,0.477,1
249.9,0.962,0.481,1
252.0,0.977,0.483,1
254.0,1.876,0.477,1
256.0,0.993,0.480,1
258.0,0.977,0.483,1
260.0,2.558,0.475,1
262.0,0.993,0.478,1
264.0,0.984,0.483,1
266.1,1.744,0.476,1
268.1,0.993,0.478,1
270.1,0.984,0.483,1
272.1,0.977,0.131,1
274.1,1.000,0.132,1
276.1,0.992,0.132,1
278.1,0.985,0.132,1
280.2,0.992,0.133,1
282.2,1.000,0.133,1
284.2,0.969,0.134,1
286.2,0.992,0.134,1
288.2,0.992,0.134,1
290.2,0.985,0.135,1
292.2,1.000,0.135,1
294.3,1.008,0.135,1
296.3,0.977,0.136,1
298.3,1.000,0.136,1
300.3,0.992,0.136,1
302.3,0.977,0.137,1
304.3,0.969,0.138,1
306.4,0.977,0.138,1
308.4,1.000,0.139,1
310.4,1.000,0.139,1
312.4,0.985,0.140,1
314.4,1.000,0.140,1
316.4,0.992,0.152,1
