camera,model,focal_length_error_pct,z_position_error_mm,xy_position_error_mm,gt_x_m,gt_y_m,gt_z_m,est_x_m,est_y_m,est_z_m,reprojection_rms_px
cam0,refractive,0.0802365353127964,-0.8238055920285546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4984494232240351
cam0,non_refractive,5.31107350142587,12.810646003200702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.376448689099401
cam1,refractive,0.03505580475901596,-0.26126360345101096,0.3916691604543649,0.208,0.2419,0.0,0.20815117631923413,0.2422613176604511,0.0005625419885775437,0.4984494232240351
cam1,non_refractive,6.197104022879888,-3.8884297088358935,3.301337690903401,0.208,0.2419,0.0,0.211273636879217,0.24232676941362963,-0.016699075712036597,1.376448689099401
cam2,refractive,0.005752914736634795,0.2515949812581203,0.7059702828875789,0.3353,0.573,0.0,0.3351130968835659,0.5736807798949642,0.0010754005732866749,0.4984494232240351
cam2,non_refractive,6.270752566395413,-13.61962760422125,2.856796974635093,0.3353,0.573,0.0,0.3378809749542892,0.574224686588322,-0.026430273607421954,1.376448689099401
cam3,refractive,0.04029316907354032,0.06009785793417821,0.4143377835506011,0.2227,0.8684,0.0,0.2225559244052049,0.8687884816879365,0.0008839034499627329,0.4984494232240351
cam3,non_refractive,5.999160714972385,-17.114207493666438,1.1934133369628968,0.2227,0.8684,0.0,0.22307011909471877,0.8672654308092648,-0.02992485349686714,1.376448689099401
cam4,refractive,0.08466944849753276,-0.8395019700107276,0.5728394355075106,0.0039,1.149,0.0,0.00386984291679381,1.1495720450762004,-1.5696377982172952e-05,0.4984494232240351
cam4,non_refractive,5.296719545448551,-6.40784347999158,3.32258317479269,0.0039,1.149,0.0,0.004470196610493157,1.145726708876559,-0.019218489483192283,1.376448689099401
cam5,refractive,0.046316334342278234,-0.39092727671770566,0.5738709495986045,-0.3363,1.193,0.0,-0.336612771580882,1.1934811463446664,0.000432878315310849,0.4984494232240351
cam5,non_refractive,4.9987232407415245,2.634672439393741,4.414943057240088,-0.3363,1.193,0.0,-0.33400946813829757,1.1892257204675332,-0.01017597356380696,1.376448689099401
cam6,refractive,-0.01767608062288438,0.5346622394879926,0.4212868797922278,-0.6801,1.1523,0.0,-0.680375295537439,1.1526188965383182,0.0013584678315165472,0.4984494232240351
cam6,non_refractive,5.513751391772704,-4.13998487553274,7.2304813249097775,-0.6801,1.1523,0.0,-0.6740292302745367,1.1483724543121352,-0.01695063087873344,1.376448689099401
cam7,refractive,-0.006418140868373486,0.4386816177414202,0.6228050986704431,-0.8868,0.8828,0.0,-0.8870866942789187,0.8833528947290084,0.001262487209769975,0.4984494232240351
cam7,non_refractive,6.135707969588677,-6.3938338748789505,7.881886401526159,-0.8868,0.8828,0.0,-0.8791396726392703,0.8809443281612801,-0.019204479878079654,1.376448689099401
cam8,refractive,-0.019987270041319175,0.42464327076975017,0.5563987813087252,-1.0023,0.5654,0.0,-1.0024203578615785,0.565943225173384,0.001248448862798305,0.4984494232240351
cam8,non_refractive,5.852628145652107,4.640352196015305,9.062730214685597,-1.0023,0.5654,0.0,-0.9935236306238813,0.5676601813020422,-0.008170293807185397,1.376448689099401
cam9,refractive,-0.0015570213997693804,-0.010855116945720611,0.6375441100181007,-0.8949,0.2677,0.0,-0.8949532242478828,0.2683353185591938,0.000812950475082834,0.4984494232240351
cam9,non_refractive,5.676093925234866,11.793970871431737,9.224821904496226,-0.8949,0.2677,0.0,-0.8865496051154025,0.2716202352532674,-0.0010166751317689654,1.376448689099401
cam10,refractive,0.03513213755776913,-0.18482882738029205,0.25570956037240405,-0.6639,0.0038,0.0,-0.6641557047341686,0.003801571047301231,0.0006389767646482625,0.4984494232240351
cam10,non_refractive,5.916866554634405,11.868572706213966,6.939008401587043,-0.6639,0.0038,0.0,-0.6575256287433248,0.006541756495272248,-0.0009420732969867363,1.376448689099401
cam11,refractive,0.020916688883020902,-0.022303172686006123,0.47652752750938676,-0.3364,-0.0573,0.0,-0.33629791074771437,-0.05683453650084891,0.0008015024193425485,0.4984494232240351
cam11,non_refractive,5.216383486153144,20.6263588240721,3.8768807421670513,-0.3364,-0.0573,0.0,-0.33377530618508855,-0.05444672352076574,0.007815712820871398,1.376448689099401
