test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m
1.1,non_refractive,0.22603960867075545,0.8179518670476038,1.0037673268111793,1.1277360511111456,1.8727381279202442
1.1,refractive,0.03348319971904929,0.4011007173244859,1.0005580533286509,1.1277360511111456,1.8727381279202442
1.2,non_refractive,0.16699530068833202,0.6916571747047824,1.0027832550114721,1.1277360511111456,1.8727381279202442
1.2,refractive,0.029913686690808638,0.3789799514326489,1.0004985614448467,1.1277360511111456,1.8727381279202442
1.3,non_refractive,0.15107299436276497,0.5435203184781239,1.0025178832393795,1.1277360511111456,1.8727381279202442
1.3,refractive,0.02938056084195785,0.40368697619128985,1.0004896760140327,1.1277360511111456,1.8727381279202442
1.4,non_refractive,0.1782441688888358,0.5021144969653404,1.0029707361481472,1.1277360511111456,1.8727381279202442
1.4,refractive,0.029280510112952244,0.39187500312250895,1.0004880085018826,1.1277360511111456,1.8727381279202442
1.5,non_refractive,0.19090163296703241,0.496844958896085,1.0031816938827838,1.1277360511111456,1.8727381279202442
1.5,refractive,0.033361545290713814,0.42409376966654,1.0005560257548451,1.1277360511111456,1.8727381279202442
1.7,non_refractive,0.2480127355936785,0.501874521110724,1.0041335455932279,1.1277360511111456,1.8727381279202442
1.7,refractive,0.03428273805480653,0.396497578261827,1.00057137896758,1.1277360511111456,1.8727381279202442
2.0,non_refractive,0.33506165348244976,0.5937924998096765,1.0055843608913742,1.1277360511111456,1.8727381279202442
2.0,refractive,0.027539636258370016,0.38435988438278845,1.0004589939376396,1.1277360511111456,1.8727381279202442
2.5,non_refractive,0.5110521975503111,0.954630099420603,1.0085175366258385,1.1277360511111456,1.8727381279202442
2.5,refractive,0.033862861482948016,0.41195003124423907,1.0005643810247158,1.1277360511111456,1.8727381279202442
