camera,x_m,y_m,z_m,fx_px,fy_px,cx_px,cy_px,water_z_m,h_c_m,reprojection_rms_px
e3v8250,-0.3382268038858963,0.5798022230521964,-0.0009770572141084687,753.3349166858179,753.0335405445016,802.857216864229,562.5390199163813,1.0738404013667777,1.0748174585808863,14.856381390262069
e3v829d,0.0,0.0,0.0,1597.709403158732,1596.4148133906194,841.0517956550183,593.0704341164745,1.0738404013667777,1.0738404013667777,0.5537182413303376
e3v82e0,-0.3366543490904003,-0.06047222432213783,-0.006385903349010843,1612.5798086734926,1612.7738554869507,748.0880611917185,590.2768371065317,1.0738404013667777,1.0802263047157885,0.699339570240805
e3v82f9,0.3369395691532871,0.5750164169802413,-0.008522335304506221,1594.838144194396,1595.6558016711365,796.6402769350826,566.7554330140379,1.0738404013667777,1.082362736671284,0.6127228547193403
e3v831e,-0.8990204359127025,0.2656893887260746,0.0024457925032779146,1593.8255525734746,1600.0024229715536,747.6966387656847,587.2585093235141,1.0738404013667777,1.0713946088634998,0.7060847491436877
e3v832e,0.20885820674942707,0.24256098685408814,0.0017911012275247415,1603.9237545764774,1603.0988307529449,814.9116689302263,624.5523154774845,1.0738404013667777,1.072049300139253,0.5627526535739492
e3v8334,-0.6661733785884832,0.002161485874459641,0.005762170702642441,1572.5592159956775,1574.3472386631381,763.0432143708804,602.0496495896919,1.0738404013667777,1.0680782306641352,0.6699186555435848
e3v83e9,-0.3405096891327544,1.1977240871870882,0.016567830590774033,1585.793013239953,1588.2990459172029,788.5324812019951,606.0498873084985,1.0738404013667777,1.0572725707760038,0.9380142204937584
e3v83eb,-0.8942514256994591,0.8847342736998149,-0.0024792732111047454,1603.2706170644683,1606.703117994434,747.2880328280044,613.0771776486371,1.0738404013667777,1.0763196745778825,0.9674563315513881
e3v83ee,0.0019010072914528954,1.1542892983499768,-0.038661324550769115,1630.397592074407,1634.8720150174056,734.6827245905141,600.1237386639674,1.0738404013667777,1.112501725917547,0.8203724488751172
e3v83ef,0.22263570617641146,0.8721098099673723,0.005429995319321797,1590.5564178778066,1590.9205824906032,821.4181820798735,612.5788822935185,1.0738404013667777,1.068410406047456,0.5561949005729143
e3v83f0,-1.0025391834784774,0.5673068386185259,0.026663630696562947,1551.4069876652345,1559.2485186281588,758.5115602230392,588.6128361537988,1.0738404013667777,1.0471767706702149,2.0815507624672698
e3v83f1,-0.6827946014999186,1.152239012374766,-0.030657813873692638,1633.030130194876,1636.1843934152641,718.3579352285007,588.9076304006111,1.0738404013667777,1.1044982152404703,0.7203371000397899
