iteration,n_fev,cost,step_norm,optimality,water_z,tilt_rx,tilt_ry
1,4,9689.33862315742,0.0,3151661.3701228513,1.0310038024657957,-3.133438896699928e-05,-0.00038438446947776627
2,5,7301.992900496332,0.003892047393818185,4045538.7594090505,1.0310976446276616,-3.1713692268413864e-05,-0.0002150814806138148
3,7,5362.461247117783,0.0009760744176082136,1452518.9306181038,1.0310524719684797,-3.3905382267129255e-05,-0.0001976049785796676
4,8,4535.838568813168,0.0019480168773265568,564367.5572140428,1.031132292216361,-4.815005544540628e-05,-0.00012645660168723644
5,9,4236.077585960263,0.0019527393645936417,61611.53178261224,1.0312617491679377,-6.808251690648066e-05,-0.00011704070556626739
6,10,3950.6957113880803,0.003905028900127427,24027.62911912795,1.0316496480658457,-0.00010987759366169815,-9.70475337111079e-05
7,11,3755.1628584390483,0.007808169491515424,7032.7962985689155,1.0325575572291832,-0.00018716745271637358,-7.001045706353669e-06
8,12,3689.4908028747445,0.01560950120760226,5459.521589954373,1.0322363073266994,-0.00017774563779299118,0.00036136589786401425
9,13,3688.79721655991,0.005167196607398321,5914.922514705068,1.0314229262123107,0.00024576094641857885,0.000490776739254388
10,14,3688.797145072602,3.159423636203944e-05,5950.567093572602,1.0314216354681474,0.0002482577206524603,0.0004900425644076303
11,15,3688.797145071608,1.7288736308977088e-07,5950.56756443124,1.0314216314558542,0.0002482647530783438,0.0004900320868784553
