iteration,n_fev,cost,step_norm,optimality,water_z,tilt_rx,tilt_ry
1,4,9126.77891150883,0.0,2069461.4136093126,1.0309232645981559,nan,nan
2,5,5547.744091265486,0.004022699836326897,2104253.140434162,1.0309451952806004,nan,nan
3,6,5340.47922331597,0.004022888345197495,2544423.389366667,1.031217974003452,nan,nan
4,7,4210.995371201915,0.0010056702509558006,165644.55875539794,1.0312345496649813,nan,nan
5,8,4083.2546874491145,0.0010056788868377567,49413.61265256728,1.0312547874616118,nan,nan
6,9,3952.7259038450084,0.0020110814206388836,30387.694055465876,1.0314375406444285,nan,nan
7,10,3814.154203891727,0.004021619468274089,10322.81682470046,1.0319546990987103,nan,nan
8,11,3725.0007538162563,0.008044665431754553,6243.922991564918,1.0325519444095705,nan,nan
9,12,3689.057326782396,0.01471203237566566,5259.416529993418,1.0316129873338746,nan,nan
10,13,3689.042488658846,0.0001822032445023586,6002.4294016635085,1.0316297276288628,nan,nan
11,14,3689.042488572195,5.272512430120865e-07,6002.569444012358,1.0316297963842145,nan,nan
