axis,axis_value,model,config_key,is_baseline,seed,n_cameras,n_frames,layout,n_true,n_assumed,normal_fixed,depth_range_min,depth_range_max,xy_extent,spacing,status,status_reason,optimality_stage3_interface_optimization,optimality_stage3_intrinsic_pass,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,focal_error_pct_mean,xy_position_error_mm_mean,z_position_error_mm_mean,water_z_error_mm_mean,num_comparisons,num_frames,degenerate_observations_at_solution
cameras,12,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.011419778519211832,0.004450470771757864,0.7064620430107456,0.33500137782155154,0.4929366975236284,0.030720454420000907,0.03684564827863452,0.18262828616418192,0.39101102251536207,0.7127070423074144,14719,100,0
cameras,16,refractive,cameras_16,False,42,16,100,grid,1.333,1.333,False,,,,,ok,,0.0027031806645823053,0.008034542735174455,0.7069562396862925,0.3322315131372113,0.48611683820628576,0.03247966083794759,0.06597093120329556,0.2931621795435137,0.042085885265871904,0.4411835671491726,14847,100,0
cameras,8,refractive,cameras_8,False,42,8,100,grid,1.333,1.333,False,,,,,ok,,0.002650037009289008,0.006437034977352596,0.7053203214058659,0.3726297774440919,0.526581437894116,0.03653132279538881,0.046672704757231065,0.12813117348776812,0.1416721437348993,0.6431637939721124,14884,100,0
index,1.333,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.011419778519211832,0.004450470771757864,0.7064620430107456,0.33500137782155154,0.4929366975236284,0.030720454420000907,0.03684564827863452,0.18262828616418192,0.39101102251536207,0.7127070423074144,14719,100,0
index,1.36,refractive,index_1.36,False,42,12,100,grid,1.36,1.36,False,,,,,ok,,0.004396241587755867,0.00528743994971137,0.706128052685143,0.33310359426001646,0.4833822359037339,0.032944276362875446,0.012524815846023432,0.15947783160112303,0.2355339109411205,0.271501467985269,14706,100,0
index,1.39,refractive,index_1.39,False,42,12,100,grid,1.39,1.39,False,,,,,ok,,0.0057680678319324,0.0040242640867518276,0.7054774527733221,0.33082268531386105,0.47385593719259883,0.031134262631454992,-0.06448526073516937,0.12249837120066896,0.36680469402617866,0.3170703781885109,14678,100,0
index,1.42,refractive,index_1.42,False,42,12,100,grid,1.42,1.42,False,,,,,ok,,0.0031421832910609737,0.0034174451467379185,0.7057738766140876,0.3392472225916215,0.4954111729194603,0.03548481704453315,-0.028337160006651787,0.11568135593062513,0.058271755856577116,0.21089091518455838,14659,100,0
index,1.45,refractive,index_1.45,False,42,12,100,grid,1.45,1.45,False,,,,,ok,,0.002816100286281653,0.004186525579910949,0.7055812548388236,0.3378253571134864,0.4903110924210369,0.032484677793542305,-0.0494679415551808,0.11107950813643884,0.29111199388233716,0.10999698810087999,14639,100,0
index,1.48,refractive,index_1.48,False,42,12,100,grid,1.48,1.48,False,,,,,ok,,0.006423801984055899,0.0034315168456942047,0.7057542723648736,0.3363346279234675,0.48983635251111873,0.03540219816655086,-0.017764546948642657,0.20099348590040245,-1.0714203138028007,0.9841028694015375,14625,100,0
index,1.51,refractive,index_1.51,False,42,12,100,grid,1.51,1.51,False,,,,,ok,,0.003128658971547793,0.0038350733231587034,0.7052880612681389,0.34054888159942226,0.5008214626323279,0.04214070116900275,-0.0628339435476523,0.10032961636435343,-0.2059330980638471,0.8379704733962878,14610,100,0
index,1.55,refractive,index_1.55,False,42,12,100,grid,1.55,1.55,False,,,,,ok,,0.01086244494422317,0.005194350787803614,0.705587472977639,0.3433167740758604,0.5004780097675791,0.03937718936903789,0.04990458134527251,0.12710171189399352,-0.610947918677992,0.027038173985527436,14597,100,0
layout,grid,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.011419778519211832,0.004450470771757864,0.7064620430107456,0.33500137782155154,0.4929366975236284,0.030720454420000907,0.03684564827863452,0.18262828616418192,0.39101102251536207,0.7127070423074144,14719,100,0
layout,line,refractive,layout_line,False,42,12,100,line,1.333,1.333,False,,,,,ok,,0.0011909792347069015,0.01536883450944515,0.7566242746764179,0.3690335966981019,0.5253963061984361,0.04200246322400375,-0.03377146197223871,2.9846882218811683,-0.12197277670253559,1.2583800428755954,3043,34,0
layout,ring,refractive,layout_ring,False,42,12,100,ring,1.333,1.333,False,,,,,ok,,0.004174274036572001,0.004398819825607239,0.7047698176513518,0.47505035902797194,0.7166061387023974,0.062178721897354516,0.06607393398001735,0.22681484732185841,-0.1012529239750356,0.4203381665695005,12854,99,0
scale,default,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.011419778519211832,0.004450470771757864,0.7064620430107456,0.33500137782155154,0.4929366975236284,0.030720454420000907,0.03684564827863452,0.18262828616418192,0.39101102251536207,0.7127070423074144,14719,100,0
scale,double_scale,refractive,scale_double_scale,False,42,12,100,grid,1.333,1.333,False,1.1762159482461678,2.823784051753832,1.674418012325477,0.86,ok,,0.0020160305143690493,0.011344718113889485,0.7045914871783993,0.5240818500032776,0.723304525310086,0.06335707927615129,-0.17115710155757088,0.27985357396281774,0.8179499761776627,2.518009800486665,11251,93,0
scale,half_scale,refractive,scale_half_scale,False,42,12,100,grid,1.333,1.333,False,1.1762159482461678,1.588107974123084,0.41860450308136926,0.215,ok,,0.00421814909702789,0.005033883892565427,0.7063377702510393,0.24514123727224557,0.36329592047227766,0.020403685194052903,0.011337095116446242,0.19079329755385743,-0.20717047610820483,0.324408507035745,15505,100,0
cameras,12,refractive,baseline,True,43,12,100,grid,1.333,1.333,False,,,,,ok,,0.004343722242538206,0.004134752853815371,0.7048908051737319,0.33680866450198976,0.482622537255515,0.03140688755000439,0.016248005041972283,0.10846075964026236,-0.21839586137599273,0.8325715537942369,14414,100,0
cameras,16,refractive,cameras_16,False,43,16,100,grid,1.333,1.333,False,,,,,ok,,0.007735908093556176,0.004818548417119928,0.7057900814586417,0.3444111268256493,0.5086113623746744,0.03531552625814316,-0.033190540419650714,0.18202606409568756,0.11490640949746672,0.39329220732309267,14713,100,0
cameras,8,refractive,cameras_8,False,43,8,100,grid,1.333,1.333,False,,,,,ok,,0.0057893428711395245,0.0034638140723473043,0.7032343615056951,0.38365080548459396,0.5626106607573836,0.040988915114480585,-0.017111710580926132,0.1971752967406799,0.6451864369554559,0.8762325965714357,14855,100,0
index,1.333,refractive,baseline,True,43,12,100,grid,1.333,1.333,False,,,,,ok,,0.004343722242538206,0.004134752853815371,0.7048908051737319,0.33680866450198976,0.482622537255515,0.03140688755000439,0.016248005041972283,0.10846075964026236,-0.21839586137599273,0.8325715537942369,14414,100,0
index,1.36,refractive,index_1.36,False,43,12,100,grid,1.36,1.36,False,,,,,ok,,0.002603513884764652,0.06310451140524265,0.7056514966156007,0.3379800203151155,0.4931774237825141,0.03695529333776194,0.08958905911274968,0.21999067321374452,1.912327103405841,2.317484154618299,14386,100,0
index,1.39,refractive,index_1.39,False,43,12,100,grid,1.39,1.39,False,,,,,ok,,0.006682738321899251,0.005788840381455884,0.7053778943168266,0.3423976612158765,0.49854088179649486,0.03442891026275677,0.03411132728682915,0.12876311215551736,1.1942459883494583,1.6191147718744858,14370,100,0
index,1.42,refractive,index_1.42,False,43,12,100,grid,1.42,1.42,False,,,,,ok,,0.006055721248685586,0.007080414216204645,0.7045415617344254,0.34708421715617005,0.499873071713186,0.04057749931457056,-0.09193817624032567,0.2111043478605441,0.25253828249328597,0.5685194981874808,14336,100,0
index,1.45,refractive,index_1.45,False,43,12,100,grid,1.45,1.45,False,,,,,ok,,0.13345435835458375,0.005204121193116862,0.7046744053369045,0.34170867438170155,0.49322132486093523,0.03734680812454278,-0.011139785831012508,0.32497117348910576,0.42418468948389765,0.04186313586895807,14309,100,0
