iteration,n_fev,cost,step_norm,optimality,water_z,tilt_rx,tilt_ry
1,4,9862.2943905049,0.0,3235465.3708556993,1.0316623041906021,-4.350541243185704e-05,-0.00040654340204229495
2,5,7327.823281647452,0.003950385173249941,4076061.931575862,1.0316913370820644,-4.378676279734234e-05,-0.00023422426155932747
3,7,5368.7087786991415,0.0009907312615580215,1451454.5468275566,1.031694812889988,-4.5868396096872195e-05,-0.0002158335028850302
4,8,4517.686767019177,0.0019775135558023614,580236.9875358569,1.0317342397424043,-5.7901371958899025e-05,-0.0001417330103253582
5,9,4211.372819466319,0.001982183130133043,60488.78433365738,1.0318505386012289,-7.752587089295705e-05,-0.00013023552532147575
6,10,3932.82142499611,0.003963992505509703,21602.362999226643,1.0321947603626815,-0.00011948424332938324,-0.0001071221483853828
7,11,3751.199082807966,0.00792647944345919,5812.34137185787,1.0327270014345151,-0.00019037131466197922,-3.3174097111946947e-06
8,12,3688.6157986698604,0.01583533260754579,5359.934473459886,1.0326298472710864,-0.0001506158393577159,0.0003804190735666118
9,13,3687.734730232559,0.009997021225228215,4928.855991587246,1.0304722803125799,0.000252397831156476,0.0006768624531877775
10,14,3687.7337193675144,8.694271266868251e-05,6171.787467183578,1.0304492447344662,0.00025647708007425806,0.00067758161596097
11,15,3687.7337193651083,6.501103775433899e-07,6171.925051489354,1.0304490729469498,0.00025651575925119075,0.0006775896705412058
