iteration,n_fev,cost,step_norm,optimality,water_z,tilt_rx,tilt_ry
1,7,151320.69943541696,0.0,10705201.837511014,1.0305729159737438,nan,nan
2,8,131899.47701306862,0.02741495201906054,24710084.992036182,1.0291485119472152,nan,nan
3,9,109499.7241877139,0.006853711827349235,7315416.659450953,1.0288065283940022,nan,nan
4,10,102403.30984549454,0.013708156120016567,13792199.881779935,1.027555926777545,nan,nan
5,12,95348.05686266025,0.0034267761436819117,3198302.0024947417,1.0275435699203959,nan,nan
6,13,90534.81254761282,0.00685416584184279,2976679.0134159946,1.026844696430322,nan,nan
7,14,82465.16046000733,0.01370787481985842,2703528.4149916694,1.0257145435918225,nan,nan
8,15,70754.81171780519,0.02741438428781326,2191197.102163096,1.0249198335356058,nan,nan
9,16,57559.39730713137,0.05482986145089187,957039.1241717334,1.0282078504937255,nan,nan
10,17,49940.43778493881,0.05480914241747541,657859.9144962444,1.0367392287146182,nan,nan
11,18,44897.68118799614,0.05480116697020069,492837.8616009236,1.0455886653174538,nan,nan
12,19,38937.9220422927,0.05480087064293445,566664.7285196322,1.0535392026750716,nan,nan
13,23,38767.49027838689,0.0017124924324071306,569914.1779748526,1.053772076920138,nan,nan
14,25,38683.72724462725,0.0008562596529042948,570666.3686386003,1.0538864913096508,nan,nan
15,27,38641.98208203264,0.000428129862146552,571019.7017364788,1.053943629588898,nan,nan
16,29,38621.139051250204,0.0002140647217404162,571197.604042752,1.0539722102421276,nan,nan
17,31,38610.72463344947,0.00010703229209053586,571287.2152939201,1.0539865055979916,nan,nan
18,32,38589.909672260605,0.00021406421249172024,571469.806256731,1.054015141038822,nan,nan
19,35,38587.30908294583,2.67580225403366e-05,571492.8153171642,1.0540187199924058,nan,nan
20,37,38586.00889478567,1.337900982179116e-05,571504.34453373,1.0540205095961739,nan,nan
21,39,38585.35882730971,6.689504542612072e-06,571510.1177092929,1.0540214044306015,nan,nan
22,41,38585.03380021968,3.344752179760423e-06,571513.0044312859,1.054021851855881,nan,nan
23,43,38584.87128833619,1.6723760667139262e-06,571514.447726232,1.0540220755705694,nan,nan
24,45,38584.790032809775,8.361880274350106e-07,571515.1699376676,1.054022187428442,nan,nan
25,47,38584.749405150375,4.180940122599691e-07,571515.5310271977,1.0540222433575093,nan,nan
26,49,38584.72909134661,2.090470058050296e-07,571515.7129504429,1.0540222713220677,nan,nan
27,50,38584.688463791026,4.180940100471365e-07,154097654885.14563,1.0540223272513742,nan,nan
28,51,38584.60821448105,8.366151764834764e-07,154100599121.79565,1.0540223270669289,nan,nan
29,52,38584.58815455725,2.0915379738045385e-07,154101333739.04303,1.0540223268824778,nan,nan
30,53,38584.583141534706,5.228846218358476e-08,154101517398.1652,1.054022326698025,nan,nan
