test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m,xy_rmse_mm,z_rmse_mm,anisotropy_ratio,n_points,seed
1.1,non_refractive,0.1999863146748,0.8945630776952944,1.00333310524458,1.1824180883607724,1.8966756493207828,8.66420324400845,49.51218519816312,5.714568761115137,4054,42
1.1,refractive,0.02691242245150031,0.4021905950407239,1.0004485403741916,1.1824180883607724,1.8966756493207828,0.6454570815879328,1.3470360960669743,2.086949131850935,4054,42
1.2,non_refractive,0.1342231158339211,0.7283931874446158,1.0022370519305654,1.1824180883607724,1.8966756493207828,9.323318110070016,27.646448150122207,2.9653013898840985,4247,42
1.2,refractive,0.02329598433793568,0.3783283614115421,1.0003882664056323,1.1824180883607724,1.8966756493207828,0.632830037584176,1.2421881260058958,1.9629095526943376,4247,42
1.3,non_refractive,0.1252124799978276,0.5812681710488695,1.0020868746666305,1.1824180883607724,1.8966756493207828,10.03285457927661,9.4821273989882,0.9451076285481136,4282,42
1.3,refractive,0.024673756860182274,0.4040236969648737,1.000411229281003,1.1824180883607724,1.8966756493207828,0.6696043061859749,1.3110003398633379,1.9578732211725394,4282,42
1.4,non_refractive,0.1475493135344579,0.46561001495373333,1.0024591552255744,1.1824180883607724,1.8966756493207828,10.830812034556164,19.94258348526951,1.8412823915364658,4294,42
1.4,refractive,0.02625880926747485,0.391620429136172,1.0004376468211247,1.1824180883607724,1.8966756493207828,0.6685705870583013,1.3026394402910302,1.9483947776144632,4294,42
1.5,non_refractive,0.17889607499280505,0.4886948102791669,1.00298160124988,1.1824180883607724,1.8966756493207828,11.628706499703998,39.629775267942414,3.407926347522071,4288,42
1.5,refractive,0.03248305657926706,0.4216233982078978,1.000541384276321,1.1824180883607724,1.8966756493207828,0.7100675042863236,1.4971113025833043,2.1084070085533972,4288,42
1.7,non_refractive,0.24628529398415322,0.4988327756343454,1.004104754899736,1.1824180883607724,1.8966756493207828,13.327099595331811,83.18214870058335,6.2415792802899315,4312,42
1.7,refractive,0.03554555053143298,0.3980114223020598,1.0005924258421905,1.1824180883607724,1.8966756493207828,0.7226613281396844,1.5152966369873009,2.0968281793742345,4312,42
