test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m
1.1,refractive,0.03348320598364208,0.4011007193044813,1.0005580534330607,1.1277360511111456,1.8727381279202442
1.1,non_refractive,0.2260392030521444,0.8179521179604339,1.003767320050869,1.1277360511111456,1.8727381279202442
1.2,refractive,0.02991369351225291,0.37897995531270623,1.0004985615585376,1.1277360511111456,1.8727381279202442
1.2,non_refractive,0.1669948682241864,0.6916571338652162,1.0027832478037364,1.1277360511111456,1.8727381279202442
1.3,refractive,0.029380567833235578,0.4036869777861294,1.000489676130554,1.1277360511111456,1.8727381279202442
1.3,non_refractive,0.15107264719588348,0.5435204466868218,1.0025178774532648,1.1277360511111456,1.8727381279202442
1.4,refractive,0.02928051842279812,0.3918750045222523,1.00048800864038,1.1277360511111456,1.8727381279202442
1.4,non_refractive,0.17824384796197698,0.5021143807262293,1.0029707307993663,1.1277360511111456,1.8727381279202442
1.5,refractive,0.03336155551108893,0.4240937751483985,1.0005560259251849,1.1277360511111456,1.8727381279202442
1.5,non_refractive,0.1909013602244744,0.4968449808498084,1.0031816893370746,1.1277360511111456,1.8727381279202442
1.7,refractive,0.034282748038429026,0.39649758037355554,1.0005713791339739,1.1277360511111456,1.8727381279202442
1.7,non_refractive,0.24801254336260994,0.5018743332965783,1.004133542389377,1.1277360511111456,1.8727381279202442
2.0,refractive,0.027539646863972488,0.384359884243608,1.0004589941143995,1.1277360511111456,1.8727381279202442
2.0,non_refractive,0.3350616448676094,0.5937923353882181,1.0055843607477934,1.1277360511111456,1.8727381279202442
2.5,refractive,0.03386287635879338,0.4119500323654177,1.0005643812726466,1.1277360511111456,1.8727381279202442
2.5,non_refractive,0.5110525429066118,0.9546298850306654,1.008517542381777,1.1277360511111456,1.8727381279202442
