axis,axis_value,model,config_key,is_baseline,seed,n_cameras,n_frames,layout,n_true,n_assumed,normal_fixed,depth_range_min,depth_range_max,xy_extent,spacing,status,status_reason,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,focal_error_pct_mean,xy_position_error_mm_mean,z_position_error_mm_mean,water_z_error_mm_mean,num_comparisons,num_frames
index,1.333,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.7755597414084439,0.35553180096757303,0.5384541510434044,0.03660271512387948,-0.10745992425584473,0.2595511354554468,-0.6706221092581682,3.6921294559869957,13886,100
index,1.36,refractive,index_1.36,False,42,12,100,grid,1.36,1.36,False,,,,,ok,,0.7808632637813255,0.3557621525269417,0.5357206007049582,0.03712979241927014,-0.005486933832060594,0.0773631160559459,0.8154919726244759,3.405725626771254,13861,100
index,1.39,refractive,index_1.39,False,42,12,100,grid,1.39,1.39,False,,,,,ok,,0.767918592376669,0.3556750780082021,0.5527802183148408,0.041188435543462736,0.06943360723497984,0.15424028952705926,0.9191621763181778,3.499352914358434,13833,100
index,1.42,refractive,index_1.42,False,42,12,100,grid,1.42,1.42,False,,,,,ok,,0.7888084808637963,0.3671055713168648,0.5703852867572067,0.04386782555442602,0.14824910171785113,0.2945751598854643,1.255691898866175,4.157720649462996,13792,100
index,1.45,refractive,index_1.45,False,42,12,100,grid,1.45,1.45,False,,,,,ok,,0.7056174017847426,0.36273231763533004,0.5549748214804302,0.0407828524354547,0.06229485616509364,0.18271229667876077,0.7701253396427532,3.5985666586627243,13757,100
index,1.48,refractive,index_1.48,False,42,12,100,grid,1.48,1.48,False,,,,,ok,,0.7046513944603605,0.3591236723810831,0.5483312088580871,0.04652634549292757,0.11747778935600611,0.1457141273678377,0.39798084888004626,3.6341218459918045,13725,100
index,1.51,refractive,index_1.51,False,42,12,100,grid,1.51,1.51,False,,,,,ok,,0.7055037445806961,0.36189616232907484,0.5406038675221532,0.044293995992447356,0.024226001879963006,0.1250799146777064,0.2957643070736798,3.4473609056869052,13699,100
index,1.55,refractive,index_1.55,False,42,12,100,grid,1.55,1.55,False,,,,,ok,,0.7052137597856851,0.3615874461276534,0.5440625443548668,0.045067042609268644,0.10223713959938689,0.12606615547445477,0.2472686459324879,3.466750482684374,13668,100
layout,grid,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.7755597414084439,0.35553180096757303,0.5384541510434044,0.03660271512387948,-0.10745992425584473,0.2595511354554468,-0.6706221092581682,3.6921294559869957,13886,100
layout,line,refractive,layout_line,False,42,12,100,line,1.333,1.333,False,,,,,ok,,0.789924789827436,0.38117460514685986,0.5410512858644999,0.06216281716375896,-0.6005256822793336,3.612950122014876,-4.088964161921342,3.4057256267712526,3118,38
layout,ring,refractive,layout_ring,False,42,12,100,ring,1.333,1.333,False,,,,,ok,,0.7049592871719614,0.48510010403324344,0.7174362293619683,0.05912628259734004,0.0909975878537559,0.22429286092434134,0.8915054030343802,3.568004831446703,11577,99
scale,default,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.7755597414084439,0.35553180096757303,0.5384541510434044,0.03660271512387948,-0.10745992425584473,0.2595511354554468,-0.6706221092581682,3.6921294559869957,13886,100
scale,double_scale,refractive,scale_double_scale,False,42,12,100,grid,1.333,1.333,False,1.1690000000000003,2.9690000000000003,1.674418012325477,0.86,ok,,0.7051949549364149,0.53802079380843,0.7516399552966778,0.06453071319786657,-0.12192921655880239,0.265410281017606,-0.039581191656130464,3.5882530025120136,11235,97
scale,half_scale,refractive,scale_half_scale,False,42,12,100,grid,1.333,1.333,False,1.0655000000000001,1.5154999999999998,0.41860450308136926,0.215,ok,,1.0071564703805398,0.2998793011182595,0.49346421434535037,0.032286474932404836,0.08316997058208937,0.10666046440681855,0.30059907711291806,3.405725626771254,13963,100
