axis,axis_value,model,config_key,is_baseline,seed,n_cameras,n_frames,layout,n_true,n_assumed,normal_fixed,depth_range_min,depth_range_max,xy_extent,spacing,status,status_reason,optimality_stage3_interface_optimization,optimality_stage3_intrinsic_pass,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,focal_error_pct_mean,xy_position_error_mm_mean,z_position_error_mm_mean,water_z_error_mm_mean,num_comparisons,num_frames,degenerate_observations_at_solution,water_z_error_mm_signed_mean,z_position_error_mm_gauge_corrected_mean
cameras,12,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.009438614222347042,0.002135818893962679,0.706462043079634,0.33500137694938603,0.49293669577681715,0.030720452225398286,0.03684512482150568,0.1826284110526688,0.39100674708007116,0.7127005245057827,14719,100,0,0.7127005245057827,-0.035546067916370085
cameras,16,refractive,cameras_16,False,42,16,100,grid,1.333,1.333,False,,,,,ok,,0.0035316968078447863,0.002988051555270488,0.7069562391810623,0.3322315128250002,0.4861168378993794,0.03247966114776268,0.06597041225575695,0.29316250217550316,0.04208555800254821,0.4411769891905504,14847,100,0,0.4411769891905504,-0.0028057038668365397
cameras,8,refractive,cameras_8,False,42,8,100,grid,1.333,1.333,False,,,,,ok,,0.0033732684090352905,0.001296386081548917,0.705320321469801,0.3726297780143143,0.5265814392088478,0.036531324530774914,0.04667313986994147,0.12813113408873375,0.1416764051142001,0.6431563605058255,14884,100,0,-0.6431563605058255,-0.020239486444885723
index,1.333,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.009438614222347042,0.002135818893962679,0.706462043079634,0.33500137694938603,0.49293669577681715,0.030720452225398286,0.03684512482150568,0.1826284110526688,0.39100674708007116,0.7127005245057827,14719,100,0,0.7127005245057827,-0.035546067916370085
index,1.36,refractive,index_1.36,False,42,12,100,grid,1.36,1.36,False,,,,,ok,,0.00415524159310429,0.0018498104741411225,0.7061280526684334,0.3331035946005884,0.4833822357492097,0.032944275258790935,0.012525465632999,0.1594780533246255,0.23554495040240678,0.2714812610595807,14706,100,0,-0.2714812610595807,-0.02141317730930972
index,1.39,refractive,index_1.39,False,42,12,100,grid,1.39,1.39,False,,,,,ok,,0.003937012640132257,0.0052719714868701,0.7054774531243344,0.33082268586955543,0.4738559374981542,0.031134261664441,-0.06448480698291727,0.12249840864814221,0.36680806444572694,0.3170786660782188,14678,100,0,0.3170786660782188,-0.03334618767688428
index,1.42,refractive,index_1.42,False,42,12,100,grid,1.42,1.42,False,,,,,ok,,0.0015754195499084744,0.001387998631486198,0.7057738764272649,0.33924722247506756,0.4954111726800974,0.03548481657993608,-0.028336990811243284,0.11568114785440149,0.05826982148005994,0.2108898041837115,14659,100,0,0.2108898041837115,-0.005297256498187281
index,1.45,refractive,index_1.45,False,42,12,100,grid,1.45,1.45,False,,,,,ok,,0.0015949697071846458,0.0031045623777165164,0.7055812550679771,0.33782535613150955,0.4903110904818255,0.0324846742352868,-0.04946819939662913,0.11107953828634086,0.2911097277756074,0.1100006916523455,14639,100,0,0.1100006916523455,-0.02646452070687341
index,1.48,refractive,index_1.48,False,42,12,100,grid,1.48,1.48,False,,,,,ok,,0.029187115626655213,0.002017447906141001,0.7057542723959271,0.33633462782936113,0.48983635234500666,0.0354021978899612,-0.017764666718040386,0.20099337066594614,-1.0714232456890262,0.9841067617255561,14625,100,0,-0.9841067617255561,0.09740211324445704
index,1.51,refractive,index_1.51,False,42,12,100,grid,1.51,1.51,False,,,,,ok,,0.0009349831468341563,0.0016619821324184159,0.7052880617511114,0.34054888070152084,0.5008214613491169,0.04214070001397795,-0.06283439648947503,0.10032971924101004,-0.20594246708140007,0.8379820171506847,14610,100,0,-0.8379820171506847,0.018722042461945438
