camera,loop,n_points,iter_min,iter_median,iter_max,n_not_converged,incidence_deg_min,incidence_deg_max,residual_max_m
ALL,batch,105600,2,4.0,6,0,0.07999496430062093,57.50379151687439,9.98233200696089e-10
ALL,scalar,105600,2,4.0,6,0,0.07999496430062093,57.50379151687439,9.999254620949279e-10
cam0,batch,8800,3,4.0,6,0,0.33419889666227404,57.16636608132603,9.82718725814382e-10
cam0,scalar,8800,3,4.0,6,0,0.33419889666227404,57.16636608132603,9.995066628652325e-10
cam1,batch,8800,3,4.0,6,0,0.49375031650913515,56.683790659938246,8.015588297849555e-10
cam1,scalar,8800,3,4.0,6,0,0.49375031650913515,56.683790659938246,9.992822674108317e-10
cam10,batch,8800,3,4.0,6,0,0.43477733603642055,53.44614408351175,8.417576788445168e-10
cam10,scalar,8800,3,4.0,6,0,0.43477733603642055,53.44614408351175,9.992081267864904e-10
cam11,batch,8800,3,4.0,6,0,0.3246570335559466,54.89130112928236,9.327382719380145e-10
cam11,scalar,8800,3,4.0,6,0,0.3246570335559466,54.89130112928236,9.99427775184894e-10
cam2,batch,8800,3,4.0,6,0,0.5569097945355722,57.07933752345755,9.47741885092158e-10
cam2,scalar,8800,3,4.0,6,0,0.5569097945355722,57.07933752345755,9.975325451310705e-10
cam3,batch,8800,3,4.0,6,0,0.5673782220336896,57.50379151687439,9.92437354020821e-10
cam3,scalar,8800,3,4.0,6,0,0.5673782220336896,57.50379151687439,9.998692136351453e-10
cam4,batch,8800,3,4.0,6,0,0.47403629123288654,57.38585819084759,9.940997741245307e-10
cam4,scalar,8800,3,4.0,6,0,0.47403629123288654,57.38585819084759,9.981125718080506e-10
cam5,batch,8800,2,4.0,6,0,0.07999496430062093,54.60406427359677,7.989550191659699e-10
cam5,scalar,8800,2,4.0,6,0,0.07999496430062093,54.60406427359677,9.978590996484402e-10
cam6,batch,8800,3,4.0,6,0,0.43478125714267873,56.57528251009685,7.642937343957264e-10
cam6,scalar,8800,3,4.0,6,0,0.43478125714267885,56.57528251009685,9.999254620949279e-10
cam7,batch,8800,2,4.0,6,0,0.23737746985810107,56.51733633400631,9.90701754170053e-10
cam7,scalar,8800,2,4.0,6,0,0.23737746985810107,56.51733633400631,9.93758404658062e-10
cam8,batch,8800,3,4.0,6,0,0.29248564265552424,56.18607684345838,9.98233200696089e-10
cam8,scalar,8800,3,4.0,6,0,0.29248564265552424,56.18607684345838,9.98233200696089e-10
cam9,batch,8800,3,4.0,6,0,0.3271255434670061,53.161388118594815,9.420351552703365e-10
cam9,scalar,8800,3,4.0,6,0,0.3271255434670061,53.161388118594815,9.991107557324784e-10
