n_cameras,n_frames,refine_intrinsics,normal_fixed,shared_interface,n_residuals,n_params,n_groups,fd_reduction,nnz,jacobian_elements,exceeds_dense_threshold,record_source
3,50,False,False,True,1200,315,13.0,24.23076923076923,14000.0,378000,False,computed
3,50,True,False,True,1200,327,17.0,19.235294117647058,18800.0,392400,False,computed
3,100,False,False,True,2400,615,13.0,47.30769230769231,28000.0,1476000,False,computed
3,100,True,False,True,2400,627,17.0,36.88235294117647,37600.0,1504800,False,computed
3,200,False,False,True,4800,1215,13.0,93.46153846153847,56000.0,5832000,False,computed
3,200,True,False,True,4800,1227,17.0,72.17647058823529,75200.0,5889600,False,computed
4,50,False,False,True,1600,321,13.0,24.692307692307693,19200.0,513600,False,computed
4,50,True,False,True,1600,337,17.0,19.823529411764707,25600.0,539200,False,computed
4,100,False,False,True,3200,621,13.0,47.76923076923077,38400.0,1987200,False,computed
4,100,True,False,True,3200,637,17.0,37.470588235294116,51200.0,2038400,False,computed
4,200,False,False,True,6400,1221,13.0,93.92307692307692,76800.0,7814400,False,computed
4,200,True,False,True,6400,1237,17.0,72.76470588235294,102400.0,7916800,False,computed
6,50,False,False,True,2400,333,13.0,25.615384615384617,29600.0,799200,False,computed
6,50,True,False,True,2400,357,17.0,21.0,39200.0,856800,False,computed
6,100,False,False,True,4800,633,13.0,48.69230769230769,59200.0,3038400,False,computed
6,100,True,False,True,4800,657,17.0,38.64705882352941,78400.0,3153600,False,computed
6,200,False,False,True,9600,1233,13.0,94.84615384615384,118400.0,11836800,False,computed
6,200,True,False,True,9600,1257,17.0,73.94117647058823,156800.0,12067200,False,computed
8,50,False,False,True,3200,345,13.0,26.53846153846154,40000.0,1104000,False,computed
8,50,True,False,True,3200,377,17.0,22.176470588235293,52800.0,1206400,False,computed
8,100,False,False,True,6400,645,13.0,49.61538461538461,80000.0,4128000,False,computed
8,100,True,False,True,6400,677,17.0,39.8235294117647,105600.0,4332800,False,computed
8,200,False,False,True,12800,1245,13.0,95.76923076923077,160000.0,15936000,False,computed
8,200,True,False,True,12800,1277,17.0,75.11764705882354,211200.0,16345600,False,computed
12,50,False,False,True,4800,369,13.0,28.384615384615383,60800.0,1771200,False,computed
12,50,True,False,True,4800,417,17.0,24.529411764705884,80000.0,2001600,False,computed
12,100,False,False,True,9600,669,13.0,51.46153846153846,121600.0,6422400,False,computed
12,100,True,False,True,9600,717,17.0,42.1764705882353,160000.0,6883200,False,computed
12,200,False,False,True,19200,1269,13.0,97.61538461538461,243200.0,24364800,False,computed
12,200,True,False,True,19200,1317,17.0,77.47058823529412,320000.0,25286400,False,computed
13,50,False,False,True,5200,375,13.0,28.846153846153847,66000.0,1950000,False,computed
13,50,True,False,True,5200,427,17.0,25.11764705882353,86800.0,2220400,False,computed
13,100,False,False,True,10400,675,13.0,51.92307692307692,132000.0,7020000,False,computed
13,100,True,False,True,10400,727,17.0,42.76470588235294,173600.0,7560800,False,computed
13,200,False,False,True,20800,1275,13.0,98.07692307692308,264000.0,26520000,False,computed
13,200,True,False,True,20800,1327,17.0,78.05882352941177,347200.0,27601600,False,computed
16,50,False,False,True,6400,393,13.0,30.23076923076923,81600.0,2515200,False,computed
16,50,True,False,True,6400,457,17.0,26.88235294117647,107200.0,2924800,False,computed
16,100,False,False,True,12800,693,13.0,53.30769230769231,163200.0,8870400,False,computed
16,100,True,False,True,12800,757,17.0,44.529411764705884,214400.0,9689600,False,computed
16,200,False,False,True,25600,1293,13.0,99.46153846153847,326400.0,33100800,False,computed
16,200,True,False,True,25600,1357,17.0,79.82352941176471,428800.0,34739200,False,computed
20,50,False,False,True,8000,417,13.0,32.07692307692308,102400.0,3336000,False,computed
20,50,True,False,True,8000,497,17.0,29.235294117647058,134400.0,3976000,False,computed
20,100,False,False,True,16000,717,13.0,55.15384615384615,204800.0,11472000,False,computed
20,100,True,False,True,16000,797,17.0,46.88235294117647,268800.0,12752000,False,computed
20,200,False,False,True,32000,1317,13.0,101.3076923076923,409600.0,42144000,False,computed
20,200,True,False,True,32000,1397,17.0,82.17647058823529,537600.0,44704000,False,computed
24,50,False,False,True,9600,441,13.0,33.92307692307692,123200.0,4233600,False,computed
24,50,True,False,True,9600,537,17.0,31.58823529411765,161600.0,5155200,False,computed
24,100,False,False,True,19200,741,13.0,57.0,246400.0,14227200,False,computed
24,100,True,False,True,19200,837,17.0,49.23529411764706,323200.0,16070400,False,computed
24,200,False,False,True,38400,1341,13.0,103.15384615384616,492800.0,51494400,False,computed
24,200,True,False,True,38400,1437,17.0,84.52941176470588,646400.0,55180800,False,computed
32,50,False,False,True,12800,489,13.0,37.61538461538461,164800.0,6259200,False,computed
32,50,True,False,True,12800,617,17.0,36.294117647058826,216000.0,7897600,False,computed
32,100,False,False,True,25600,789,13.0,60.69230769230769,329600.0,20198400,False,computed
32,100,True,False,True,25600,917,17.0,53.94117647058823,432000.0,23475200,False,computed
32,200,False,False,True,51200,1389,13.0,106.84615384615384,659200.0,71116800,False,computed
32,200,True,False,True,51200,1517,17.0,89.23529411764706,864000.0,77670400,False,computed
48,50,False,False,True,19200,585,13.0,45.0,248000.0,11232000,False,computed
48,50,True,False,True,19200,777,17.0,45.705882352941174,324800.0,14918400,False,computed
48,100,False,False,True,38400,885,13.0,68.07692307692308,496000.0,33984000,False,computed
48,100,True,False,True,38400,1077,17.0,63.35294117647059,649600.0,41356800,False,computed
48,200,False,False,True,76800,1485,13.0,114.23076923076923,992000.0,114048000,False,computed
48,200,True,False,True,76800,1677,17.0,98.6470588235294,1299200.0,128793600,False,computed
64,50,False,False,True,25600,681,13.0,52.38461538461539,331200.0,17433600,False,computed
64,50,True,False,True,25600,937,17.0,55.11764705882353,433600.0,23987200,False,computed
64,100,False,False,True,51200,981,13.0,75.46153846153847,662400.0,50227200,False,computed
64,100,True,False,True,51200,1237,17.0,72.76470588235294,867200.0,63334400,False,computed
64,200,False,False,True,102400,1581,13.0,121.61538461538461,1324800.0,161894400,False,computed
64,200,True,False,True,102400,1837,17.0,108.05882352941177,1734400.0,188108800,False,computed
96,50,False,False,True,38400,873,13.0,67.15384615384616,497600.0,33523200,False,computed
96,50,True,False,True,38400,1257,17.0,73.94117647058823,651200.0,48268800,False,computed
96,100,False,False,True,76800,1173,13.0,90.23076923076923,995200.0,90086400,False,computed
96,100,True,False,True,76800,1557,17.0,91.58823529411765,1302400.0,119577600,False,computed
96,200,False,False,True,153600,1773,,,,272332800,False,predicted
96,200,True,False,True,153600,2157,,,,331315200,False,predicted
128,50,False,False,True,51200,1065,13.0,81.92307692307692,664000.0,54528000,False,computed
128,50,True,False,True,51200,1577,17.0,92.76470588235294,868800.0,80742400,False,computed
128,100,False,False,True,102400,1365,13.0,105.0,1328000.0,139776000,False,computed
128,100,True,False,True,102400,1877,17.0,110.41176470588235,1737600.0,192204800,False,computed
128,200,False,False,True,204800,1965,,,,402432000,False,predicted
128,200,True,False,True,204800,2477,,,,507289600,True,predicted
