axis,axis_value,model,config_key,is_baseline,seed,n_cameras,n_frames,layout,n_true,n_assumed,normal_fixed,depth_range_min,depth_range_max,xy_extent,spacing,status,status_reason,optimality_stage3_interface_optimization,optimality_stage3_intrinsic_pass,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,focal_error_pct_mean,xy_position_error_mm_mean,z_position_error_mm_mean,water_z_error_mm_mean,num_comparisons,num_frames,degenerate_observations_at_solution
index,1.333,refractive,baseline,True,43,12,100,grid,1.333,1.333,False,,,,,ok,,0.004343722242538206,0.004134752853815371,0.7048908051737319,0.33680866450198976,0.482622537255515,0.03140688755000439,0.016248005041972283,0.10846075964026236,-0.21839586137599273,0.8325715537942369,14414,100,0
index,1.36,refractive,index_1.36,False,43,12,100,grid,1.36,1.36,False,,,,,ok,,0.002603513884764652,0.06310451140524265,0.7056514966156007,0.3379800203151155,0.4931774237825141,0.03695529333776194,0.08958905911274968,0.21999067321374452,1.912327103405841,2.317484154618299,14386,100,0
index,1.39,refractive,index_1.39,False,43,12,100,grid,1.39,1.39,False,,,,,ok,,0.006682738321899251,0.005788840381455884,0.7053778943168266,0.3423976612158765,0.49854088179649486,0.03442891026275677,0.03411132728682915,0.12876311215551736,1.1942459883494583,1.6191147718744858,14370,100,0
index,1.42,refractive,index_1.42,False,43,12,100,grid,1.42,1.42,False,,,,,ok,,0.006055721248685586,0.007080414216204645,0.7045415617344254,0.34708421715617005,0.499873071713186,0.04057749931457056,-0.09193817624032567,0.2111043478605441,0.25253828249328597,0.5685194981874808,14336,100,0
index,1.45,refractive,index_1.45,False,43,12,100,grid,1.45,1.45,False,,,,,ok,,0.13345435835458375,0.005204121193116862,0.7046744053369045,0.34170867438170155,0.49322132486093523,0.03734680812454278,-0.011139785831012508,0.32497117348910576,0.42418468948389765,0.04186313586895807,14309,100,0
index,1.48,refractive,index_1.48,False,43,12,100,grid,1.48,1.48,False,,,,,ok,,0.00417371441517389,0.00370310743301161,0.7049953521209178,0.34456277522706413,0.4982626221625426,0.03594982313798028,0.03994972504567332,0.23159304084344434,-0.09795283879526535,0.7457022722368034,14279,100,0
index,1.51,refractive,index_1.51,False,43,12,100,grid,1.51,1.51,False,,,,,ok,,0.003525536587176248,0.005154761085009341,0.7045049844031243,0.34740784352647414,0.502073892552961,0.03920005553121733,-0.05771767057966427,0.14495671205642552,0.03441602627815021,0.022242085328194605,14246,100,0
index,1.55,refractive,index_1.55,False,43,12,100,grid,1.55,1.55,False,,,,,ok,,0.004866954821068248,0.005114902777677344,0.703645822890678,0.3428798186364615,0.49439895952902746,0.04371879303803534,-0.04714213673218016,0.10649520130726427,0.08582773410947168,0.1636380322342923,14219,100,0
layout,grid,refractive,baseline,True,43,12,100,grid,1.333,1.333,False,,,,,ok,,0.004343722242538206,0.004134752853815371,0.7048908051737319,0.33680866450198976,0.482622537255515,0.03140688755000439,0.016248005041972283,0.10846075964026236,-0.21839586137599273,0.8325715537942369,14414,100,0
layout,line,refractive,layout_line,False,43,12,100,line,1.333,1.333,False,,,,,ok,,0.001670965557764248,0.01012915737669573,0.8150828058017515,0.38200028048280665,0.5199412138890978,0.0372506153339759,-0.012686434965739062,3.1797832890779554,-18.495458493619566,18.854672480272722,2000,19,0
layout,ring,refractive,layout_ring,False,43,12,100,ring,1.333,1.333,False,,,,,ok,,0.0173967781814639,0.0031107755980883667,0.7011962233964234,0.47850589875337857,0.7248480499010753,0.07024777053407999,0.001831625087583647,0.31342241755322914,0.4820163760219766,0.242047504953824,11997,100,0
scale,default,refractive,baseline,True,43,12,100,grid,1.333,1.333,False,,,,,ok,,0.004343722242538206,0.004134752853815371,0.7048908051737319,0.33680866450198976,0.482622537255515,0.03140688755000439,0.016248005041972283,0.10846075964026236,-0.21839586137599273,0.8325715537942369,14414,100,0
scale,double_scale,refractive,scale_double_scale,False,43,12,100,grid,1.333,1.333,False,1.1762159482461678,2.823784051753832,1.674418012325477,0.86,ok,,0.002363592527331093,0.003043962582751192,0.7007740113354737,0.5076198654708661,0.6934497281980778,0.06563655600339802,-0.018146537253730815,0.5593126087700439,1.6203260326135067,1.8338795399692742,9767,97,0
scale,half_scale,refractive,scale_half_scale,False,43,12,100,grid,1.333,1.333,False,1.1762159482461678,1.588107974123084,0.41860450308136926,0.215,ok,,0.018478133027429067,0.008469782875408782,0.7070340311648454,0.24117501184783283,0.34698579984635436,0.020631797562658493,0.0017295849963694107,0.12906145777270941,0.47989729186490976,0.15257583358341265,15386,100,0
